Location:,"12th Street @ 38th Avenue",,,,,,Weather:,"Sunny and Clear",,,
Date:,2011/12/21,,,,,,Counter:,"Metro Traffic Data Inc.",,,
,,,,,,,,,,,
,"Primary street:",,"12th Street",,,,"Primary street:",,"12th Street",,
,Approach:,,Eastbound,,WestLeg,,Approach:,,Westbound,,EastLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,0,0,1,0,1,,1,0,0,0,8
4:15-4:30pm,0,2,1,0,3,,0,0,0,0,1
4:30-4:45pm,0,0,0,0,6,,0,0,0,0,0
4:45-5:00pm,0,1,0,0,1,,0,0,4,0,0
"4:00-5:00pm Total:",0,3,2,0,11,,1,0,4,0,9
5:00-5:15pm,0,0,2,0,6,,0,0,0,0,0
5:15-5:30pm,0,2,1,0,2,,0,0,0,0,0
5:30-5:45pm,0,1,0,0,0,,0,0,0,0,0
5:45-6:00pm,0,0,0,0,0,,0,0,0,0,1
"5:00-6:00pm Total:",0,3,3,0,8,,0,0,0,0,1
"4:00-6:00pm Total:",0,6,5,0,19,,1,0,4,0,10
,"Total # of Bicycles: ",,11,,,,"Total # of Bicycles: ",,5,,
,,,,,,,,,,,
,"Cross street:",,"38th Avenue",,,,"Cross street:",,"38th Avenue",,
,Approach:,,Northbound,,SouthLeg,,Approach:,,Southbound,,NorthLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,0,0,0,0,0,,0,0,0,0,8
4:15-4:30pm,0,0,0,0,0,,2,0,0,0,3
4:30-4:45pm,0,0,0,0,0,,3,0,0,0,14
4:45-5:00pm,0,0,0,0,0,,0,0,0,0,6
"4:00-5:00pm Total:",0,0,0,0,0,,5,0,0,0,31
5:00-5:15pm,0,0,0,0,0,,0,0,0,0,11
5:15-5:30pm,0,0,0,0,0,,0,0,0,0,1
5:30-5:45pm,0,0,0,0,0,,0,0,0,0,4
5:45-6:00pm,0,0,0,0,0,,0,0,0,0,4
"5:00-6:00pm Total:",0,0,0,0,0,,0,0,0,0,20
"4:00-6:00pm Total:",0,0,0,0,0,,5,0,0,0,51
,"Total # of Bicycles: ",,0,,,,"Total # of Bicycles: ",,5,,
,,,,,,,,,,,
"Totals (4:00pm - 6:00pm)",,,,,,,,,,,
"Total # of Bicycles ",,21,"[Include bicyclists on sidewalks but not bicycles on buses.]",,,,,,,,
"Total # of Bikes on Buses:",,0,"[Count bicycles on the racks of buses.]",,,,,,,,
"Total # of Pedestrians",,80,"[Count pedestrians by crossing leg for each intersection approach.]",,,,,,,,
"Total # of Bikes on Sidewalk:",,3,"[Subtotal of bicyclists on sidewalks.]",,,,,,,,
,,,"[Bicyclists on sidewalks are also included in the turning movement counts.]",,,,,,,,
